summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_agg_score
ref,test,31,"The facilities of this hotel are really great and therefore it's one of the most enjoyable stays. The location of the hotel was rather disappointing and not a very scenic area of Hong Kong. The hotel's rooms are adequate, although perhaps a little darkly lit. The rooms are clean and quiet, although for a more updated room it is worth booking a room on the Club floor. There is nothing the staff find to be too much trouble. The buffet breakfast is absolutely amazing and really varied. In addition the restaurant provides some really good food that's worth trying. The hotel has a bi-hourly bus shuttle service available to guests. It is not worth getting a hotel with a pool as it is often not the climate for swimming etc.","

This hotel is an enjoyable place to stay, thanks to its excellent facilities. Unfortunately, the location isn't the best and the scenery isn't so great. The guest rooms are decent, but could use a bit more brightness. They are still clean and peaceful, however, and if you'd like the most modern accommodation you should book the Club floor. The hospitality of the staff could not be faulted - they go out of their way to help. The breakfast buffet is delightful and varied, and the restaurant also offers some tasty food. If you need to go somewhere, there's a bus shuttle with departures every two hours that's free for guests. Lastly, while a pool would be nice, it's not the most practical addition given the local climate.","

This hotel provides nice amenities, though the location and scenery aren't anything to write home about. The rooms are decent, albeit a bit on the dim side, still they are immaculately clean and tranquil. For the most up-to-date lodging, reserve the Club floor. The staff are extremely welcoming and helpful, and the breakfast and restaurant food is delightful. Every two hours, there is a free shuttle bus for guests to use to get around. A swimming pool would be a bonus, but unfortunately it isn't realistic given the climate.",0.705829334657108
ref,test,32,"A unique hotel that provides a similarly unique and unforgettable experience. It can't be recommended highly enough for the convenience and friendliness here. The location is superb. It had absolutely in the center of everything you could need. The hotel rooms are decorated sophistically, although the TV was very small. Exceptional service; every member of staff on front of house were super polite, courteous and so thoughtful. Brasserie Jo, the restaurant attached to the hotel, is excellent with delicious food, charming atmosphere , and the best service. There's a good gym in this hotel. It is on the fifth floor and features some cardio machines.","

This hotel offers an unusual and remarkable stay that must be highly recommended for its ease and hospitality. The situation is outstanding, located perfectly in the middle of whatever you might need. The bedrooms are ornamented tastefully, even though the television was rather meager. Superb service was provided; everyone working at the front office was very respectful, polite, and kind. Brasserie Jo, the restaurant that is next to the hotel, is superb with scrumptious cuisine, an ambiance that is pleasant, and the greatest service. It comes with a gym as well, which is located at the fifth floor, and contains some cardio equipment.","

This hotel gives an extraordinary and remarkable stay that deserves much praise for its convenience and hospitality. The location is unbeatable, found conveniently near all the necessary centers. The bedrooms are attractively decorated, but with a slightly small television. The staff was exceptional; all the employees at the front desk were extremely courteous, respectful, and helpful. Brasserie Jo, the restaurant next to the hotel is a remarkable experience - with delicious meals, a pleasant environment, and top-notch service. There is also a gym on the fifth floor, which has some cardio machines.",0.5613738258507669
ref,test,33,"Highly recommended hotel that you will want to come back to because it is definitely five-star. The hotel is only a minute from the beach in both directions. The hotel also has a rooftop pool with a view of the sea too. The hotel is located near to the Port Olympic and Barcelonetta. There is also a fitness park a two minute walk away. The hotel room had a good bathroom, but the pillows and linen were a bit uncomfortable. The bed was a good size and there was a large TV, WiFi etc. The room was specious and clean and also had a sea view. The food was really good here especially the breakfast. Sometimes the restaurant did not open for dinner but the chef would be flexible for a small party, which is great. The pools were a great addition to this hotel as well at the fitness centre. There's even a Jacuzzi on the rooftop, which was really fun.","

This hotel is an absolute must-visit. Only a stone's throw away from the beach, the Port Olympic and Barcelonetta, this five-star establishment is sure to make you want to come back again. Boasting a stunning rooftop pool with a view of the sea, a fitness park two minutes away and a top-notch Jacuzzi on the rooftop, its features add to the overall star-rated experience. While the room had an excellent bathroom, its pillows and linen were a bit uncomfortable. The bed was great and there was plenty of space in the room and it was clean, with a sea view to top it off. The food here was really good too, particularly the breakfast, and if the restaurant wasn't open for dinner, the chef was flexible for small groups.","

This hotel is a definite spot you don't want to miss! Just a short distance away from the Port Olympic, the Barcelonetta and the ocean, it is a five-star destination that will definitely keep you coming back. Delight in the beautiful ocean view from the rooftop pool, indulge in the Jacuzzi, and break a sweat at the nearby fitness park. The restroom was especially impressive, though unfortunately, the bedding and pillows were not as comfortable as expected. The room also had plenty of floor space and a stunning seaside view. To complete the satisfaction, the meals here were excellent, especially the breakfast, although the restaurant could not open for dinner, the chef was still willing to cater to smaller groups.",0.653536765316668
ref,test,34,The hotel was great and comes highly recommended. The hotel is close to transport networks. The modern rooms were really clean. What really stood out was the thermostat that controls the heat and coolness of the room. The complimentary breakfast provided by the hotel was substandard. The hotel has a thermostat control.,"

The hotel was outstanding and well worth recommending; it's in close proximity to transportation. The up-to-date guestrooms were neat and tidy, and the standout feature was the thermostat regulating temperature. Unfortunately, the free breakfast didn't measure up to standard, however the hotel is equipped with temperature control.","

The hotel was of high quality and deserves to be applauded; it's nearby public transport. The rooms were kept clean and organized, with a functional thermostat to keep it at the right temperature. Yet, the complimentary breakfast fails to meet expectations, but guests can adjust the temperature as needed.",0.40253038274601594
ref,test,35,"It's a good hotel and would definitely recommend as well as return for another stay. The hotel is in a perfect location in the old quarter of Istanbul. The hotel is within minutes of the Blue Mosque and the Grand Bazaar, along with many other traditional and historic places in Sultanahmet. The rooms here are cosy and on the small side but always very clean and comfortable enough. The staff were knowledgeable about the local area. The breakfast was fit for a king so that's definitely recommended. There was nothing not to like especially with breakfast on an open terrace. The hotel provides complimentary internet access in the reception.","

I would certainly recommend this hotel and would be happy to stay there again. Located in the old quarter of Istanbul, it was mere minutes away from attractions such as the Blue Mosque, the Grand Bazaar, and other places of interest and historical sites in Sultanahmet. Although the rooms are small, they are kept clean and comfortable. Moreover, the staff had extensive knowledge of the local area. Additionally, the breakfast was truly remarkable and served on an outdoor terrace. Aside from this, free internet access was offered at the reception. All in all, I cannot find one thing to dislike about this hotel.","

I would highly suggest this hotel and wouldn't mind returning there in the future. It was perfectly located in the old section of Istanbul, just a few minutes away from the Blue Mosque, Grand Bazaar, and other areas of attraction and historic landmarks. Even if the rooms are somewhat cramped, they were clean and cozy. Furthermore, the staff was incredibly knowledgeable about the area. Moreover, the breakfast was extraordinary and served in an outdoor courtyard. Furthermore, free WiFi was accessible from the reception area. Ultimately, I do not have any negative feedback about this hotel.",0.6754046901842421
ref,test,36,"The price of staying at this hotel was reasonable. The hotel is located in the city centre and right next to a canal. The rooms of the hotel can be small and with little beds. The rooms are good value and are clean and well furnished. The continental breakfast was a bit limited but it did taste great and it was provided by the hotel for free. The hotel did provide free internet access. However, be warned of the steep stairs if you have heavy luggage. The hotel is gay friendly, but there are homosexual pornographic materials left out in public areas.","

The cost of this hotel was fair. It is situated in the downtown area, close to a canal. The rooms are not spacious and the beds can be small, but they are nicely priced and well maintained with neat furnishings. The continental breakfast served was somewhat restricted in quantity, but it was scrumptious and free to hotel guests. Free Wi-Fi is available. Be warned of the steep steps if you have heavy baggage. This hotel is welcoming to the LGBTQ+ community, although there are explicit homosexual pornographic materials displayed in areas accessible to the public.","

This hotel is located in downtown, close to a canal and is fairly priced. The rooms are small and the beds are not large, yet they are well-kept with nice furniture. The continental breakfast was not abundant but it was delicious and complimentary for hotel-goers. Wi-Fi is free of charge. A warning for those carrying bulky suitcases: the stairs at this hotel are steep. Additionally, the hotel has an inclusive atmosphere to the LGBTQ+ community, despite explicit gay pornography being in publically accessible areas.",0.5998802770315175
ref,test,37,"The hotel is situated about five minutes away from the airport and offers a free shuttle service to the downtown area at twenty minutes past the hour. The two-bedroom suite in this hotel was stunning and really impressive. There were lots of nice features such as granite worktops, marble flooring, stainless steel appliances for guest use, and the bathroom featured Jacuzzi tubs and a really big walk-in shower. The breakfast passes only included the fruit and bread. The parking facility at the hotel cost $18 which is expensive, and the water at the hotel was discoloured and riddled with seaweed.","

This hotel was located merely five minutes away from the airport, providing convenient shuttle services to the city center every twenty minutes. Guests who stayed in the two-bedroom suite were amazed at how impressive it was, showcasing luxurious features like a granite worktop, marble floors and stainless steel kitchen appliances. Additionally, the bathroom included Jacuzzi tubs and a roomy walk-in shower. Unfortunately, the breakfast passes were only limited to fruit and bread, and parking here cost an expensive $18. Furthermore, the water quality was sub par, being discoloured and filled with seaweed.","

Only five minutes away from the airport, this hotel supplied shuttle transport to the city center every twenty minutes. Visitors that occupied the two-bedroom suite were amazed by its extravagance, with gorgeous granite worktop, polished marble surfaces and up-to-date kitchen appliances. The bathroom housed a mini-spa with Jacuzzi tubs and a capacious walk-in shower. Unfortunately, the breakfast options were limited to fruit and bread and there was an expensive fee of $18 to park here. Appallingly, the water quality was poor, being clouded and containing seaweed.",0.4545166217767031
ref,test,38,"This lovely and charming hotel can be busy during September time. This hotel is nicely located in quiet neighborhood and also close to the best things to do in Venice. The room were clean but it seems more like a dorm than a hotel room. You need to spend extra 20 euro for an upgrade. Very friendly owners. While the breakfast is basic here the breakfast area is quite small and it gets filled up fast, there are lots of places near by; the staff will even make a reservation for you. The local boat trip to Murano is worth it but the advice would be to go on the normal boat.","

This beautiful, charming hotel may be busy during the month of September as it is in a tranquil area as well as near many of Venice's best attractions. Although the rooms were clean, they have more of a dormitory feel so you would have to spend an extra €20 to get an upgrade. The owners are very hospitable and the morning meal is simple, but the breakfast area is particularly small so it gets filled up quickly. However, there are nearby cafes and the staff will even make reservations for you. The boat trip to Murano is worth it, although it is suggested to go with the normal boat.","

This captivating hotel can be quite crowded during September as it is located in a tranquil zone nearby several of Venice's best attractions. Although the accommodations were tidy, in order to acquire a higher quality stay, an additional €20 was required. The proprietors of the hotel are very welcoming and the buffet-style breakfast is basic however the area for dining is much too tiny for the amount of guests and fills up rapidly. Nevertheless, there are close-by restaurants and the front desk personnel will make reservations for you. The boat trip to Murano is suggested as a must-see although it is preferred to choose the regular boat.",0.6373190491604159
ref,test,39,The hotel is a tranquil escape from the bustle of the Old Town. It is decorated in a modest and antiquated fashion. If you ask at this hotel you can get an amazing room with a sea-view. The bathroom seems updated and features a really great pressure shower. The continental-style breakfast was really good and served on the rooftop terrace. There are really great views at this hotel. Additionally found that their slippers are really comfortable and don't feel cheap.,"

If you're looking for a break from the hustle and bustle of the local area, this hotel is the perfect spot. It has a vintage charm, and when you book a room you get a great view of the sea. The bathroom was clean, modern and was equipped with a great shower. Breakfast was amazing and was served on the rooftop terrace. On top of this, you get access to amazing scenery and lovely slippers that don't feel cheap either.","

Seeking a reprieve from the vigorous activity of your nearby town? This hotel is just the ticket. With a vintage atmosphere, you'll be given a great look of the ocean when you book a room. The lavatory was spotless, up-to-date and was outfitted with an awesome shower. Breakfast was incredible and was served on the roof terrace. In addition, you get the advantage of breathtaking scenery and pleasant, good-quality slippers.",0.5921764247843759
ref,test,40,"The hotel is particularly good value for money. The location is central and close to the City Hall. There is also a Burger King and a 7 Eleven convenience store nearby. The rooms in the hotel were clean but the decor was a little outdated and the rooms were too cold. The buffet breakfasts and dinners in this hotel is absolutely superb and there is even an a la carte lunch option. If that wasn't enough there is a great bar on the ground floor with really good tasty food, too. The internet provided at the hotel was of poor quality because it was so unreliable and you had to put a down-payment just to connect. However, there is a pool here at the hotel and that's really clean and of good quality."," 

Visiting this hotel is a great deal for the money. It's conveniently located close to the City Hall, plus there is a Burger King and a 7 Eleven nearby. The rooms in this hotel are clean, although they may appear a little antiquated, and are quite chilly. The buffet breakfast and dinner are fantastic, and a la carte lunch options are available. Additionally, a dependable bar with yummy food is located on the ground floor. The internet service here is inadequate, as it is costly to connect and very unreliable. Although the quality of the pool is top-notch if that provides any consolation.","

Staying at this lodging spot is an excellent investment for the cost. It's conveniently situated in the vicinity of the Town Hall, in addition to a Burger King and 7 Eleven being near. The rooms in the hotel are clean although they may seem relatively outdated, and it can be quite chilly. The complimentary breakfast and dinner is amazing and à la carte lunch choices are obtainable. There is also a dependable bar with delicious dishes at the ground level. The internet here is not the best since it is expensive to sign up for and it is not reliable. Although the pool facilities are top-notch if that is any consolation.",0.5891060823896866
ref,test,41,"The hotel's furnishings is a bit outdated and need updating but it was very clean. This hotel has great central location; it is very close to many attractions, like MRT, Clarke Quay , and the National Museum. The bed was comfortable and the full size bath was a nice bonus. The isolation is bad so the elevator and neighbor speaking could be heard very clearly. The other downside is the lack of style and no wifi in the room. Disappointing breakfast. Very limited choices with no fresh fruit. This hotel has a very small pool.","

The accommodations at this hotel are a bit out of date and could use a refresh, but it was very clean. It has a great central location near public transit, Clarke Quay and the National Museum. The bed was comfortable and the full bath was a nice touch. However, soundproofing is poor, so noises from the elevator and from neighbors were very audible. Additionally, there is a lack of aesthetic style and no wifi in the rooms. The breakfast does not meet expectations with a limited number of choices and nothing fresh. It does however have a small pool.","

The rooms of this hotel could do with an upgrade, however it was tidy. It has a great spot close to public transport, Clarke Quay, and the National Museum. The bed was comfy and the full bathroom was a nice addition. Unfortunately the sound insulation isn't very effective, meaning the lift and ambient noise coming from other rooms could be heard. On top of that, the interior lacks character and wifi in the rooms is missing too. Breakfast left a lot to be desired, with a small selection and no fresh meals. The hotel does however feature a small pool.",0.5436299777445379
ref,test,42,"This hotel may not be the right option for some. The hotel is only a five minute walk from the Town Hall rail station and you can also walk to shopping and tourist attractions from the hotel. The hotel is also close to Darling Harbour. The corner-room was of an okay size and really cleaned to a high level. Check-in to your room can be earlier if you ask. The staff were quite nice overall but sometimes seemed to be put off and lacking. The breakfast provided by the hotel was Continental., but there were problems with not being on the necessary list. The hotel's restaurant was good., but slightly expensive. The hotel were very helpful with pre-booking information, but check out of the stay was drawn out and frustrating.","

This hotel may not be the best fit for some, however it is located only a five minute walk from the Town Hall rail station. Shopping and tourist attractions are within walking distance, and Darling Harbour is close by. The corner-room was of a decent size and very clean. An earlier check-in can be organised with request. The staff were generally quite friendly, but there were occasions when they seemed to be disinterested. The Continental breakfast was provided by the hotel, however some issues occurred with people not being on the necessary list. The hotel's restaurant was good quality but costlier than expected. The hotel staff were able to provide helpful pre-booking information, although getting checked out was laborious and frustrating.","

This lodging option may not be ideal for everyone, however it is just a five minute walk from the Town Hall rail station. Walking-distance to shopping, sightseeing, and Darling Harbour. The corner room was of a suitable size and very tidy. It is possible to arrange for early check-in, if requested. Most staff were friendly, but there were a few times when they didn't seem to be paying attention. The hotel provided Continental breakfast but there were reports of some people not being recognized as a registered guest. The eatery at the hotel was of good quality yet more pricey than anticipated. The staff was helpful with pre-booking proceedings, even though checking out created time-consuming and irritating problems.",0.687225455977441
ref,test,43,"This is a perfect hotel for a short stay and highly recommended because of the great value for money. The hotel is in a great location if you're looking to visit the Musee d'Orsay or Saint Germain area . Firstly the rooms are designed to be really unique and it shows, but this doesn't compromise the plethora of mod-cons supplied such as iPod dock, minibar, a flat-screen television. There is nothing you could need that isn't available. Whilst very lux inside the room it's very relaxing and charming. The staff at this hotel are really caring with a great attitude. The breakfast provided by the hotel was suitable stocked with fresh, organic produce and there was plenty of food available. The ticket provided by the hotel allows for skipping the line at designated venues.","

This hotel is the perfect place to stay for a short period and is strongly recommended due to its amazing value for money. If you hope to visit the Musee d'Orsay or Saint Germain, it is conveniently located. The rooms not only have their own unique atmosphere, but also provide plenty of modern amenities, such as an iPod dock, minibar, and flat-screen TV for your comfort. The staff are very warm and welcoming, and the hotel's breakfast features lots of fresh, organic items to choose from. Additionally, with their ticket, you get the privilege of skipping the line at designated venues.","

This accommodation is highly recommended due to its outstanding cost-effectiveness for a short stay. Whether you're looking to visit the Musee d'Orsay or Saint Germain, the hotel's convenient location makes it easy. In addition to having its own characteristic vibe, the rooms offer a host of modern amenities, such as an iPod dock, minibar and flat-screen TV, so you can kick back in ultimate comfort. The staff are friendly and helpful, and the breakfast buffet offers plenty of breakfast options made with organic components. What's more, with their ticket you can avoid waiting in long lineups at partnered venues.",0.6764909127151787
ref,test,44,"After booking directly with the hotel it was really impressive and made for a very special weekend. This is the place to be. The hotel was situated close to a metro station, allowing travel to the restaurants of Old Montreal and within walking distance of the Montreal Jazz Festival. The rooms are adequately sized but are clean and with elegant furnishings. The rooms retain some history from its previous incarnation as a bank. The rooms have free WiFi available with lovely modern art too. The hotel has a good bar that is ideal for relaxing whilst listening to some live music. The hotel had no street noise at all and on Friday and Saturday evenings there was a music group playing at the bar area.","

Reserving accommodation directly with the hotel was remarkably effective and created a memorable weekend. This place is a must see. The establishment is near a metro station which facilitates travelling to delightful eateries in Old Montreal and is a brief walk to the Montreal Jazz Festival. The moderate-sized rooms are tidy and offer tasteful decorations. They also sustain some of the past banking heritage. There is unhindered WiFi with decorative, contemporary art pieces decorating the walls. The bar is admirable for soothing tunes and to linger over a drink. The hotel is surprisingly silent and on Fridays and Saturdays, visitors can enjoy live music in the bar area.","

Booking a stay directly with the hotel was remarkably successful, creating a weekend for the ages. This spot is unmissable! It isn't far from a metro station, making it easy to visit delightful restaurants in Old Montreal, as well as close enough to the Montreal Jazz Festival. The moderate-sized rooms are neat and decorated tastefully including some preserved banking relics. Unhindered WiFi along with modern art decorating the halls is also provided. At the bar you can stay and sip a drink while listening to calming tunes. Lastly, the hotel is surprisingly quiet, with live music sets provided from Fridays to Saturdays in the bar.",0.6064070962647445
ref,test,45,"The hotel was a bargain and comes highly recommended. The hotel is located centrally to the main strip and generally everything is within walking distance. It is a minute's walk to beach and nearby 4th street has a selection of local restaurants too. The rooms were clean and well maintained. They were reasonably priced and the deluxe options have a balcony overlooking 5th Avenue. The staff are incredibly knowledgeable about the local area and will happily spend some time advising on the best places to see. They were even gracious enough to book taxis to the airport, which is a great touch. The hotel is near to Rancho Punto Venado, which provides facilities for many outdoor activities such as horseback riding and ATV driving","

This hotel is a steal and definitely worth the recommendation. It is situated in the middle of the tourist district, so everything is within an easy walk. You can even to get to the beach in only one minute! Furthermore, 4th Street is great for dining out close-by. The rooms are nice, tidy, and reasonably priced with deluxe rooms having a balcony facing 5th Avenue. The staff are incredibly helpful and can tell you about the best attractions and can help for transportation to the airport, which is a nice extra. Lastly, Rancho Punto Venado is located conveniently, where you can experience all sorts of outdoors activities such as horseback riding and ATV driving.","

This hotel is a great is a great value and comes highly recommended. It is centrally located in the touristic area, so it is within a short stroll of all the local attractions. Additionally, you can reach the beach in just one minute! Furthermore, 4th Street provides many nearby dining options. The rooms are clean and neat, with deluxe rooms having a balcony that overlooks 5th Avenue. The staff is friendly and very helpful in providing information on the attractions and arranging transportation to the airport. Finally, near the hotel is Rancho Punto Venado, where you can take part in a variety of outdoor activities, such as horseback riding and ATV driving.",0.7236046799327676
ref,test,46,"The hotel was a unique experience with traditional and modern features. A stay at the hotel comes highly recommended. The hotel is situated in an excellent location on the Grand Canal, only a couple of stops to San Marco Square and near to the Salute Church. It is close to a number of art galleries and the Vaporetto. The hotel has rooms overlooking the canal that are nice and clean. The hotel has a simple menu which can be served wherever you like. The minibar is always stocked for guests. Despite being a bit overpriced the hotel did live up to that expectation, so it was worth it.","

Staying at the hotel is a highly recommended experience, blending modern and traditional elements throughout. It is conveniently located near the Grand Canal, just a short ride away from San Marco Square and near to the Salute Church. Additionally, art galleries and the Vaporetto are also in close proximity. Rooms overlooking the canal are neat and tidy. The food selection is straightforward and can be served anywhere at the hotel. Plus, the minibar is always fully-stocked. The cost for the hotel may seem a bit pricey, but it does manage to be worth it in the end.","

Staying at this accommodation is indeed an exceptional experience, as it brings together the old and the new. Located not too far from the Grand Canal, it is a short journey away from the iconic St. Mark's Square and the Chiesa della Salute. In addition, there are also art galleries and the Vaporetto close by. The rooms facing the canal are beautifully kept, and you can expect a no-fuss but tasty menu, to be served in any part of the hotel. Furthermore, the mini-bar will always have a supply of items. The fee for the hotel may appear to",0.6219289545226024
ref,test,47,"It was such a comfortable experience here at this hotel and nice bonus there was classical music that came from a nearby opera school. Excellent location for that is on a quiet street, but also allow easy reach for principal city sights; the metro and city tour bus stop are really close. Clean and large room with a great renovated bathroom. The staff are a wealth of knowledge about the nearby restaurants , side trips, which was was super helpful. The breakfast not only has lots of choice but the quality of the continental foods and drinks on offer was great. They also provide take away breakfast. No wireless internet in the rooms, only available in the lobby.","

My stay at this hotel was wonderfully comfortable, and a nice bonus was the classical music that emanated from the nearby opera school. Its location was excellent - on a quiet street while still being within easy reach of the major city attractions, as well as the metro and tourist bus stops. The room I stayed in was clean and spacious, with a nicely renovated bathroom. The staff were immensely knowledgeable about the restaurants in the area and nearby side trips, which was extremely helpful. Not only was there an abundance of choices for breakfast, the quality of the continental foods and drinks was superb. They even allowed guests to take away the breakfast. The only downside was that there was","nt a full-service gym.

I was so pleased with my experience at this lodging - it was incredibly comfortable and the concert hall next door playing classical music was a great bonus. Its location was fantastic - nestled in a peaceful neighborhood but still close to the major sights of the city, plus the metro and tour bus stops. The room was spotless and large, with a freshly updated restroom. The staff had comprehensive knowledge of all the local restaurants and day trips, so helpful! My breakfast selection was outstanding, with delicious continental treats, and they were even kind enough to let me take away the rest. The only thing that was missing was a complete fitness center.",0.620394123609266
